date,time,transmitter_id,signal_db,gain_db,latitude,longitude,rkm
23-May-22,09:30,48728,0,0,41.551038,-96.095666,-236.0
14-Jun-22,19:16,48728,0,0,41.551038,-96.095666,-236.0
