"Plot Title: Temp1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21022943, SEN S/N: 21022943)","Intensity, lum/ft² (LGR S/N: 21022943, SEN S/N: 21022943)","Coupler Attached (LGR S/N: 21022943)","Coupler Detached (LGR S/N: 21022943)","End Of File (LGR S/N: 21022943)"
105,10/31/2021 08:12:21 AM,47.624,0.0,,,
106,10/31/2021 10:12:21 AM,46.908,0.0,,,
107,10/31/2021 12:12:21 PM,46.728,0.0,,,
108,10/31/2021 02:12:21 PM,47.088,0.0,,,
109,10/31/2021 04:12:21 PM,48.339,0.0,,,
110,10/31/2021 06:12:21 PM,49.228,0.0,,,
111,10/31/2021 08:12:21 PM,49.228,0.0,,,
112,10/31/2021 10:12:21 PM,48.695,0.0,,,
113,11/01/2021 12:12:21 AM,47.982,0.0,,,
114,11/01/2021 02:12:21 AM,47.266,0.0,,,
115,11/01/2021 04:12:21 AM,46.369,0.0,,,
116,11/01/2021 06:12:21 AM,45.466,0.0,,,
117,11/01/2021 08:12:21 AM,44.742,0.0,,,
118,11/01/2021 10:12:21 AM,44.379,0.0,,,
119,11/01/2021 12:12:21 PM,44.195,0.0,,,
120,11/01/2021 02:12:21 PM,44.560,0.0,,,
121,11/01/2021 04:12:21 PM,45.466,0.0,,,
122,11/01/2021 06:12:21 PM,46.369,0.0,,,
123,11/01/2021 08:12:21 PM,46.369,0.0,,,
124,11/01/2021 10:12:21 PM,46.188,0.0,,,
125,11/02/2021 12:12:21 AM,45.466,0.0,,,
126,11/02/2021 02:12:21 AM,44.742,0.0,,,
127,11/02/2021 04:12:21 AM,44.013,0.0,,,
128,11/02/2021 06:12:21 AM,43.099,0.0,,,
129,11/02/2021 08:12:21 AM,42.363,0.0,,,
130,11/02/2021 10:12:21 AM,41.625,0.0,,,
131,11/02/2021 12:12:21 PM,41.810,0.0,,,
132,11/02/2021 02:12:21 PM,42.363,0.0,,,
133,11/02/2021 04:12:21 PM,44.195,0.0,,,
134,11/02/2021 06:12:21 PM,45.104,0.0,,,
135,11/02/2021 08:12:21 PM,45.648,0.0,,,
136,11/02/2021 10:12:21 PM,45.466,0.0,,,
137,11/03/2021 12:12:21 AM,45.104,0.0,,,
138,11/03/2021 02:12:21 AM,44.379,0.0,,,
139,11/03/2021 04:12:21 AM,43.466,0.0,,,
140,11/03/2021 06:12:21 AM,42.732,0.0,,,
141,11/03/2021 08:12:21 AM,42.179,0.0,,,
142,11/03/2021 10:12:21 AM,41.810,0.0,,,
143,11/03/2021 12:12:21 PM,41.994,0.0,,,
144,11/03/2021 02:12:21 PM,42.548,0.0,,,
145,11/03/2021 04:12:21 PM,43.648,0.0,,,
146,11/03/2021 06:12:21 PM,44.922,0.0,,,
147,11/03/2021 08:12:21 PM,45.648,0.0,,,
148,11/03/2021 10:12:21 PM,45.648,0.0,,,
149,11/04/2021 12:12:21 AM,45.104,0.0,,,
150,11/04/2021 02:12:21 AM,44.379,0.0,,,
151,11/04/2021 04:12:21 AM,43.466,0.0,,,
152,11/04/2021 06:12:21 AM,42.732,0.0,,,
153,11/04/2021 08:12:21 AM,42.179,0.0,,,
154,11/04/2021 10:12:21 AM,41.625,0.0,,,
155,11/04/2021 12:12:21 PM,41.810,0.0,,,
156,11/04/2021 02:12:21 PM,42.363,0.0,,,
157,11/04/2021 04:12:21 PM,43.831,0.0,,,
158,11/04/2021 06:12:21 PM,45.286,0.0,,,
159,11/04/2021 08:12:21 PM,46.008,0.0,,,
160,11/04/2021 10:12:21 PM,46.008,0.0,,,
161,11/05/2021 12:12:21 AM,46.008,0.0,,,
162,11/05/2021 02:12:21 AM,45.466,0.0,,,
163,11/05/2021 04:12:21 AM,44.922,0.0,,,
164,11/05/2021 06:12:21 AM,44.195,0.0,,,
165,11/05/2021 08:12:21 AM,43.648,0.0,,,
166,11/05/2021 10:12:21 AM,43.466,0.0,,,
167,11/05/2021 12:12:21 PM,43.466,0.0,,,
168,11/05/2021 02:12:21 PM,44.922,0.0,,,
169,11/05/2021 04:12:21 PM,46.908,0.0,,,
170,11/05/2021 06:12:21 PM,48.339,0.0,,,
171,11/05/2021 08:12:21 PM,48.517,0.0,,,
172,11/05/2021 10:12:21 PM,48.695,0.0,,,
173,11/06/2021 12:12:21 AM,48.517,0.0,,,
174,11/06/2021 02:12:21 AM,47.802,0.0,,,
175,11/06/2021 04:12:21 AM,47.088,0.0,,,
176,11/06/2021 06:12:21 AM,46.188,0.0,,,
177,11/06/2021 08:12:21 AM,45.466,0.0,,,
178,11/06/2021 10:12:21 AM,44.922,0.0,,,
179,11/06/2021 12:12:21 PM,45.104,0.0,,,
180,11/06/2021 02:12:21 PM,45.828,0.0,,,
181,11/06/2021 04:12:21 PM,47.624,0.0,,,
182,11/06/2021 06:12:21 PM,49.050,0.0,,,
183,11/06/2021 08:12:21 PM,49.582,0.0,,,
184,11/06/2021 10:12:21 PM,49.759,0.0,,,
185,11/07/2021 12:12:21 AM,49.759,0.0,,,
186,11/07/2021 02:12:21 AM,49.404,0.0,,,
187,11/07/2021 04:12:21 AM,48.871,0.0,,,
188,11/07/2021 06:12:21 AM,48.339,0.0,,,
189,11/07/2021 08:12:21 AM,47.802,0.0,,,
190,11/07/2021 10:12:21 AM,47.446,0.0,,,
191,11/07/2021 12:12:21 PM,47.446,0.0,,,
192,11/07/2021 02:12:21 PM,47.802,0.0,,,
193,11/07/2021 04:12:21 PM,49.050,0.0,,,
