Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
9/12/22 17:12,VR2W-137355,A69-1604-28720,,,,,12,,
9/12/22 17:13,VR2W-137355,A69-1604-28720,,,,,12,,
9/12/22 17:14,VR2W-137355,A69-1604-28720,,,,,12,,
9/12/22 17:15,VR2W-137355,A69-1604-28720,,,,,12,,
