transmitter_id,total_movement
48453,410.5
48454,0.7
48455,1.2
48456,211.6
48457,396.1
48458,365.6
48460,408.5
48461,0
48462,831.1
48463,23.6
48464,391.2
48466,912.4
48468,299.2
48469,455.6
48472,0
48474,0
48476,0
48477,1.3
48478,450.7
48479,1.3
48482,2.2
48483,2.2
48484,30.4
48485,2.2
48487,532.6
48488,3.4
48491,1385.1
48725,551.6
48726,19.3
48727,895
48728,1292.3
48730,690.3
48731,732.5
48732,691.8
48733,711.9
